Sample,X,Y,Z
407,1.0142,-0.1194,-0.0642
408,1.0913,0.0093,0.0056
409,1.1433,0.0620,-0.0193
410,0.9275,-0.0833,0.0813
411,1.1011,0.0310,-0.0022
412,0.9441,-0.0525,0.0281
413,1.0310,0.0132,0.0217
414,1.0090,0.0002,0.0217
415,0.9741,0.0161,-0.0144
416,1.0183,-0.0647,0.0127
417,1.0347,0.0325,0.1309
418,1.0115,0.0513,-0.0364
419,0.8960,-0.1123,-0.0769
420,1.1479,-0.0605,0.0042
421,0.9802,0.1104,-0.1013
422,1.0349,-0.0386,-0.1147
423,1.0962,0.0237,0.2104
424,0.9851,-0.0574,-0.0461
425,0.9556,-0.0669,-0.0632
426,1.2114,0.1096,0.1992
427,0.8611,-0.0352,-0.0156
428,0.9568,-0.0430,-0.0596
429,1.0991,0.0935,0.1594
430,0.8892,-0.0603,-0.1189
431,1.0896,-0.0640,0.0386
432,1.1521,0.0818,0.0398
433,0.9099,-0.0349,-0.1172
434,1.1587,-0.0400,0.1233
435,1.0796,0.0547,0.0518
436,0.9187,-0.0979,-0.0417
437,1.1606,0.0459,0.1099
438,1.0095,-0.0288,0.0947
439,0.9448,-0.0273,-0.1218
440,1.0720,0.0637,0.1599
441,1.0203,-0.0203,0.0042
442,0.9175,-0.1233,-0.0500
443,1.1528,0.1140,0.0654
444,0.9246,-0.0176,0.0540
445,0.9351,-0.0723,-0.0994
446,1.0886,-0.0032,-0.0181
447,1.0132,0.0413,-0.0781
448,1.1091,-0.0491,-0.0405
449,1.1519,0.0010,0.0759
450,0.9802,-0.0078,0.0449
451,0.9917,-0.0356,0.0579
452,1.0923,0.0466,-0.1179
453,0.9431,-0.0286,-0.0693
454,1.0640,-0.0178,0.0259
455,1.0417,0.1123,0.0513
456,0.8562,-0.0591,-0.1177
457,1.0017,-0.1028,0.1145
458,1.1147,0.0886,-0.1121
459,0.8962,-0.0813,-0.0806
460,1.1780,-0.0525,0.0469
461,1.0649,0.0544,0.0195
462,0.9106,0.0081,-0.1204
463,1.0857,-0.0376,0.0173
464,1.0447,0.0093,0.0486
465,0.8416,-0.0103,-0.1240
466,1.1345,-0.0791,0.0334
467,1.0015,0.1416,-0.0896
468,0.8679,-0.1284,-0.0659
469,1.1226,0.0078,0.1575
470,0.9802,0.1365,-0.0852
471,0.8442,-0.1951,-0.0625
472,1.2566,0.0339,0.0225
473,0.9292,0.0730,-0.0261
474,0.9722,-0.1245,-0.0283
475,1.2017,0.0681,0.0417
476,0.9265,-0.0676,-0.0369
477,0.9292,-0.0364,-0.0962
478,1.1150,0.0596,0.0188
479,0.9685,-0.0842,-0.0408
480,0.9565,0.0566,-0.0112
481,1.1206,0.0732,0.0322
