Sample,X,Y,Z
597,1.0288,0.0774,-0.0601
598,0.9868,-0.0459,0.0610
599,0.9819,-0.0449,-0.0833
600,1.0347,0.0710,-0.0449
601,1.0718,-0.1333,0.1641
602,1.0522,0.0916,-0.1023
603,0.9558,0.0173,0.0442
604,1.0964,-0.0872,0.0781
605,1.0427,-0.0706,-0.0413
606,0.9841,0.1870,0.0549
607,1.0103,-0.1150,0.0229
608,0.8892,0.0657,-0.1284
609,1.0063,-0.1494,0.1294
610,1.0806,0.1406,-0.0208
611,0.9734,-0.0012,-0.0818
612,0.9910,-0.1096,0.2080
613,1.0613,0.0098,-0.1021
614,0.9556,-0.0398,-0.0422
615,1.1665,0.0417,0.1421
616,0.9968,0.0996,-0.0554
617,0.8677,-0.1394,-0.1016
618,1.0718,-0.0325,0.1799
619,0.9595,0.1296,-0.1106
620,0.9148,-0.1179,0.0010
621,1.1938,0.1877,0.0754
622,0.8325,-0.1160,-0.0093
623,1.0271,-0.0518,-0.0125
624,1.1265,0.0229,0.1570
625,0.9314,-0.0439,-0.1675
626,1.1326,0.0039,0.0444
627,1.0750,0.0903,0.0549
628,0.9302,-0.1226,-0.0835
629,1.0935,-0.0437,0.0608
630,1.0562,0.0442,0.0017
631,0.9028,-0.0884,-0.0637
632,1.1814,0.0483,0.0994
633,0.8875,-0.0420,-0.0293
634,1.0356,-0.0259,0.0635
635,1.0444,0.1018,0.0850
636,0.8855,-0.0361,-0.0969
637,1.0457,-0.0439,-0.0249
638,1.1697,0.0466,0.0217
639,0.8940,0.0217,-0.0381
640,1.0779,-0.0403,0.0952
641,1.1235,0.0134,-0.0183
642,0.8511,-0.0642,-0.1543
643,1.1716,-0.0398,0.2209
644,1.0847,0.0813,-0.0825
645,0.9067,-0.0613,-0.0642
646,1.1101,-0.0662,0.2151
647,1.0259,0.0298,-0.1333
648,0.9792,-0.0457,-0.0024
649,1.0728,0.0020,0.1436
650,0.9021,0.0049,-0.1306
651,0.9568,-0.0132,-0.0261
652,1.1248,-0.0291,0.0151
653,0.9741,0.0596,-0.0344
654,1.0134,-0.0217,0.0569
655,1.0173,-0.0833,0.0439
656,1.0249,-0.0002,-0.1509
657,1.0662,0.0906,0.0750
658,1.0669,0.0061,0.0676
659,0.9314,0.0198,-0.0183
660,0.9763,-0.0884,-0.0432
661,1.0027,0.0952,0.0493
662,0.9607,0.0925,-0.0806
663,0.9988,-0.1018,0.0381
664,1.0466,0.1133,0.0564
665,0.8181,-0.1624,-0.0212
666,1.2593,-0.0225,0.0703
667,1.0327,0.1335,-0.0144
668,0.8726,-0.0701,-0.0381
669,1.1821,-0.1077,0.0728
670,0.9895,0.1006,-0.0408
671,0.9128,-0.1670,0.0132
672,1.1890,0.0999,0.1074
673,0.9509,0.0781,-0.0798
674,0.8328,-0.1995,0.0581
675,1.2141,0.1362,0.0916
676,0.8267,-0.0513,-0.0850
677,1.0239,-0.1277,0.0442
678,1.2000,0.1763,0.0042
679,0.8582,-0.1799,-0.0400
680,1.1646,0.1689,0.1194
681,0.9724,0.0081,-0.0432
682,0.8679,-0.0308,-0.0098
683,1.0759,-0.1272,0.0122
684,1.0564,0.2551,-0.0369
685,0.9937,-0.1470,0.0752
686,1.1021,0.1179,0.0591
687,0.9802,-0.0505,0.0249
688,0.9565,0.0312,0.0569
689,1.1345,-0.0496,0.0496
690,0.9585,0.1133,-0.0503
691,1.0210,-0.0911,0.0320
692,1.0271,0.0422,-0.0029
693,1.0779,-0.0950,-0.0266
694,1.0535,0.1218,0.0459
695,1.0408,-0.1458,0.0229
696,1.0251,0.1060,0.0164
697,0.9685,-0.1494,0.0215
698,1.0310,0.1050,0.0071
699,1.0525,-0.1047,0.0488
700,1.0457,0.0347,0.0781
701,1.0447,0.0000,-0.0630
702,1.0007,-0.0747,0.0752
703,1.0728,0.0457,0.0232
704,0.9119,0.0127,-0.0774
705,1.0981,-0.0554,0.0691
706,1.0083,0.2168,-0.0566
707,0.8696,-0.1821,-0.0059
708,1.1121,-0.0122,0.1431
709,1.0154,0.0581,-0.0842
710,1.0261,-0.0728,0.0784
711,1.1099,0.1282,0.0132
712,0.9333,-0.1396,0.0469
713,1.0503,0.0310,-0.0610
714,1.0210,-0.0288,0.1470
715,1.0476,0.0798,0.0127
716,1.0024,-0.1636,-0.0168
717,1.0708,0.2566,-0.0237
718,0.9480,-0.3821,-0.0981
719,1.2664,0.2847,-0.0242
720,1.0369,-0.1663,0.1843
721,1.0310,0.0811,-0.1362
