Sample,X,Y,Z
531,0.9155,-0.1296,0.0298
532,1.1157,0.1079,-0.1042
533,0.9939,-0.0415,0.0063
534,0.9321,-0.1304,-0.1394
535,1.1411,0.2229,-0.0200
536,1.0164,-0.1572,0.0586
537,0.8826,-0.0815,-0.0232
538,1.0933,0.1187,0.0396
539,0.9548,-0.1560,0.0781
540,1.0903,0.1013,-0.1416
541,0.9158,0.0078,-0.0588
542,0.9929,-0.0862,0.0154
543,1.0857,0.0452,-0.1174
544,0.9585,0.0750,-0.1365
545,1.0259,0.0066,-0.0598
546,0.9626,-0.0430,-0.0886
547,0.9897,-0.0759,-0.0110
548,1.0493,0.0378,-0.0676
549,1.0662,-0.0049,0.0452
550,0.9734,0.0469,0.0225
551,1.0046,-0.1245,-0.0840
552,1.0095,0.0852,0.1321
553,1.0249,-0.0393,0.0393
554,0.9136,0.0205,-0.0945
555,1.1255,-0.0103,0.1033
556,0.9302,0.0972,0.0251
557,0.9441,-0.0366,-0.1589
558,1.0017,-0.0840,0.1682
559,1.0630,-0.0610,-0.0193
560,1.0376,0.0625,0.0574
561,0.9897,-0.0203,-0.0601
562,0.9497,0.0276,-0.0901
563,0.9756,-0.0576,0.0037
564,1.0310,-0.0095,0.0591
565,1.0552,-0.0107,-0.0752
566,1.0229,0.0559,0.0950
567,0.9067,-0.0654,0.1135
568,0.9470,0.0347,-0.0532
569,1.0425,-0.0593,0.0454
570,0.9771,0.0889,0.0066
571,1.0532,-0.0034,0.0652
572,0.9578,0.0249,-0.1428
573,1.0522,-0.0488,0.1147
574,1.0581,-0.1091,0.0432
575,1.1531,0.1379,0.0068
576,0.9722,-0.0632,0.1069
577,0.9976,-0.0598,-0.0369
578,1.0903,0.0010,0.0430
579,0.9998,0.0103,0.0771
580,1.0190,-0.0632,-0.0193
581,1.0962,0.0701,0.0911
582,0.8376,-0.1050,0.0293
583,0.9812,-0.0193,-0.0813
584,1.1489,0.0442,0.0278
585,0.9929,-0.0784,-0.1348
586,1.1235,-0.0273,0.0051
587,1.1226,0.1067,0.0789
588,0.8474,-0.1726,-0.1140
589,1.0720,0.0684,-0.1169
590,1.1851,-0.0654,0.1758
591,0.8911,0.0486,-0.1125
592,0.9604,-0.0464,-0.0615
593,1.0212,-0.0488,0.0444
594,0.9734,-0.0999,-0.0029
595,1.0044,0.2234,-0.0312
596,1.0532,-0.1306,0.1040
597,0.9341,0.0916,-0.1162
598,0.9109,-0.1814,0.0227
599,1.1082,0.1807,-0.0315
600,1.0229,-0.1677,0.0422
601,1.0493,0.0837,-0.0420
602,1.0034,-0.0996,-0.0486
603,1.1294,0.1794,0.0049
604,0.8794,-0.1394,0.0146
605,0.9773,0.1216,-0.0415
606,0.9705,-0.1477,0.1033
607,1.0034,0.0376,0.0144
608,0.9529,0.0354,0.0452
609,1.1323,-0.0686,0.1785
610,0.9490,0.1125,-0.0239
611,0.8953,-0.0984,-0.0745
612,1.1130,0.0259,0.1865
613,1.0144,-0.0271,-0.0825
